Position (mm) Run #1	Light Intensity (%) Run #1
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.5
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
0.00	0.6
-0.01	0.5
-0.04	0.5
-0.05	0.5
-0.05	0.5
-0.05	0.5
-0.05	0.5
-0.05	0.5
-0.05	0.6
-0.05	0.6
-0.05	0.6
-0.05	0.6
-0.05	0.6
-0.04	0.5
-0.04	0.6
-0.04	0.6
-0.04	0.6
-0.04	0.6
-0.04	0.6
-0.04	0.6
-0.04	0.6
-0.04	0.6
-0.04	0.6
-0.04	0.5
-0.04	0.6
-0.04	0.6
-0.04	0.6
-0.04	0.6
-0.04	0.6
-0.04	0.6
-0.04	0.5
-0.04	0.6
-0.03	0.5
-0.03	0.5
-0.03	0.6
-0.03	0.6
-0.03	0.6
-0.03	0.6
-0.03	0.6
-0.03	0.6
-0.04	0.5
-0.07	0.6
-0.10	0.6
-0.15	0.5
-0.21	0.6
-0.28	0.5
-0.37	0.5
-0.46	0.5
-0.58	0.5
-0.72	0.5
-0.86	0.5
-1.00	0.5
-1.13	0.5
-1.26	0.5
-1.35	0.6
-1.43	0.6
-1.49	0.6
-1.53	0.6
-1.56	0.6
-1.60	0.6
-1.65	0.6
-1.70	0.6
-1.77	0.6
-1.85	0.5
-1.94	0.5
-2.03	0.5
-2.14	0.5
-2.23	0.5
-2.31	0.5
-2.39	0.5
-2.46	0.5
-2.54	0.6
-2.63	0.6
-2.72	0.6
-2.82	0.6
-2.92	0.6
-3.01	0.6
-3.07	0.6
-3.13	0.6
-3.16	0.6
-3.19	0.6
-3.22	0.5
-3.25	0.5
-3.28	0.5
-3.31	0.5
-3.34	0.5
-3.37	0.5
-3.40	0.5
-3.43	0.5
-3.46	0.5
-3.49	0.5
-3.53	0.5
-3.56	0.5
-3.60	0.5
-3.64	0.5
-3.67	0.5
-3.70	0.5
-3.73	0.5
-3.77	0.5
-3.80	0.6
-3.83	0.6
-3.86	0.6
-3.89	0.6
-3.92	0.6
-3.95	0.6
-3.97	0.6
-3.99	0.6
-4.01	0.6
-4.03	0.6
-4.06	0.6
-4.09	0.6
-4.12	0.6
-4.15	0.6
-4.19	0.6
-4.23	0.6
-4.26	0.6
-4.29	0.6
-4.32	0.6
-4.35	0.6
-4.38	0.6
-4.42	0.6
-4.45	0.6
-4.49	0.6
-4.53	0.6
-4.55	0.6
-4.58	0.5
-4.59	0.5
-4.62	0.5
-4.64	0.5
-4.66	0.5
-4.69	0.5
-4.72	0.5
-4.77	0.5
-4.81	0.5
-4.85	0.5
-4.90	0.5
-4.96	0.5
-5.02	0.5
-5.08	0.6
-5.15	0.6
-5.20	0.6
-5.27	0.6
-5.33	0.6
-5.38	0.6
-5.44	0.6
-5.50	0.6
-5.56	0.6
-5.63	0.6
-5.69	0.6
-5.75	0.6
-5.82	0.6
-5.88	0.6
-5.95	0.5
-6.01	0.5
-6.08	0.5
-6.14	0.5
-6.21	0.5
-6.28	0.5
-6.34	0.5
-6.41	0.6
-6.46	0.6
-6.52	0.6
-6.56	0.6
-6.60	0.6
-6.65	0.6
-6.69	0.6
-6.73	0.6
-6.78	0.6
-6.83	0.6
-6.88	0.6
-6.92	0.6
-6.96	0.6
-7.00	0.6
-7.05	0.6
-7.09	0.6
-7.14	0.5
-7.19	0.5
-7.24	0.5
-7.28	0.5
-7.32	0.5
-7.36	0.5
-7.40	0.5
-7.44	0.5
-7.49	0.5
-7.54	0.5
-7.58	0.6
-7.63	0.6
-7.67	0.6
-7.73	0.6
-7.79	0.6
-7.84	0.6
-7.89	0.6
-7.96	0.6
-8.02	0.6
-8.08	0.6
